accounts-daemon.service                      enabled         enabled
alsa-utils.service                           masked          enabled
anacron.service                              enabled         enabled
apparmor.service                             enabled         enabled
apport.service                               enabled         enabled
avahi-daemon.service                         enabled         enabled
bluetooth.service                            enabled         enabled
brltty.service                               disabled        enabled
cloud-config.service                         enabled         enabled
cloud-final.service                          enabled         enabled
cloud-init-local.service                     enabled         enabled
cloud-init.service                           enabled         enabled
console-setup.service                        enabled         enabled
cron.service                                 enabled         enabled
cryptdisks-early.service                     masked          enabled
cryptdisks.service                           masked          enabled
cups-browsed.service                         enabled         enabled
cups.service                                 enabled         enabled
dmesg.service                                enabled         enabled
e2scrub_reap.service                         enabled         enabled
getty@.service                               enabled         enabled
gnome-remote-desktop.service                 enabled         enabled
gpu-manager.service                          enabled         enabled
grub-common.service                          enabled         enabled
grub-initrd-fallback.service                 enabled         enabled
hwclock.service                              masked          enabled
kerneloops.service                           enabled         enabled
keyboard-setup.service                       enabled         enabled
ModemManager.service                         enabled         enabled
netplan-ovs-cleanup.service                  enabled-runtime enabled
networkd-dispatcher.service                  enabled         enabled
NetworkManager-dispatcher.service            enabled         enabled
NetworkManager-wait-online.service           enabled         enabled
NetworkManager.service                       enabled         enabled
nftables.service                             disabled        enabled
openvpn-client@.service                      disabled        enabled
openvpn-server@.service                      disabled        enabled
openvpn.service                              enabled         enabled
openvpn@.service                             disabled        enabled
power-profiles-daemon.service                enabled         enabled
rsync.service                                disabled        enabled
rsyslog.service                              enabled         enabled
rtkit-daemon.service                         disabled        enabled
saned.service                                masked          enabled
saned@.service                               indirect        enabled
secureboot-db.service                        enabled         enabled
serial-getty@.service                        disabled        enabled
setvtrgb.service                             enabled         enabled
snapd.apparmor.service                       enabled         enabled
snapd.autoimport.service                     enabled         enabled
snapd.core-fixup.service                     enabled         enabled
snapd.recovery-chooser-trigger.service       enabled         enabled
snapd.seeded.service                         enabled         enabled
snapd.service                                enabled         enabled
snapd.system-shutdown.service                enabled         enabled
speech-dispatcherd.service                   disabled        enabled
spice-vdagentd.service                       indirect        enabled
ssl-cert.service                             enabled         enabled
sssd-autofs.service                          indirect        enabled
sssd-nss.service                             indirect        enabled
sssd-pac.service                             indirect        enabled
sssd-pam.service                             indirect        enabled
sssd-ssh.service                             indirect        enabled
sssd-sudo.service                            indirect        enabled
sssd.service                                 enabled         enabled
sudo.service                                 masked          enabled
switcheroo-control.service                   enabled         enabled
sysstat.service                              enabled         enabled
systemd-confext.service                      disabled        enabled
systemd-fsck-root.service                    enabled-runtime enabled
systemd-network-generator.service            disabled        enabled
systemd-networkd-wait-online.service         disabled        enabled
systemd-networkd-wait-online@.service        disabled        enabled
systemd-networkd.service                     disabled        enabled
systemd-oomd.service                         enabled         enabled
systemd-pcrlock-file-system.service          disabled        enabled
systemd-pcrlock-firmware-code.service        disabled        enabled
systemd-pcrlock-firmware-config.service      disabled        enabled
systemd-pcrlock-machine-id.service           disabled        enabled
systemd-pcrlock-make-policy.service          disabled        enabled
systemd-pcrlock-secureboot-authority.service disabled        enabled
systemd-pcrlock-secureboot-policy.service    disabled        enabled
systemd-pstore.service                       enabled         enabled
systemd-remount-fs.service                   enabled-runtime enabled
systemd-resolved.service                     enabled         enabled
systemd-sysext.service                       disabled        enabled
systemd-sysupdate-reboot.service             indirect        enabled
systemd-sysupdate.service                    indirect        enabled
systemd-timesyncd.service                    enabled         enabled
thermald.service                             enabled         enabled
ua-reboot-cmds.service                       enabled         enabled
ubuntu-advantage.service                     enabled         enabled
udisks2.service                              enabled         enabled
ufw.service                                  enabled         enabled
unattended-upgrades.service                  enabled         enabled
upower.service                               disabled        enabled
uuidd.service                                indirect        enabled
wpa_supplicant-nl80211@.service              disabled        enabled
wpa_supplicant-wired@.service                disabled        enabled
wpa_supplicant.service                       enabled         enabled
wpa_supplicant@.service                      disabled        enabled
x11-common.service                           masked          enabled
